Name,Year,Location,Vendeur,Owner_type,Kilometers_Driven,Fuel_Type,Transmission,Puissance_fiscale,Puissance_dynamique,Price
FORD Focus 2012,2012,Tanger,Particulier,Première,158.000 km,Diesel,Automatique,6 cv ,115 ch ,120.000 DH
FIAT Uno 1997,1997,Fès,Particulier,Seconde,118.000 km,Diesel,Manuelle,7 cv ,7 ch ,30.000 DH
AUDI A3 Berline 2014,2014,Tétouan,Particulier,Seconde,200.000 km,Diesel,Automatique,8 cv ,150 ch ,200.000 DH
AUDI A3 2015,2015,Meknès,Particulier,Seconde,189.000 km,Diesel,Automatique,8 cv ,150 ch ,234.000 DH
VOLKSWAGEN Passat 2012,2012,Casablanca,Particulier,Seconde,165.000 km,Diesel,Manuelle,8 cv ,140 ch ,129.000 DH
SEAT Ibiza 2017,2017,Temara,Particulier,Première,43.200 km,Essence,Manuelle,6 cv ,75 ch ,105.000 DH
SKODA Fabia 2016,2016,Rabat,Particulier,Première,82.000 km,Essence,Manuelle,7 cv ,75 ch ,91.000 DH
RENAULT Captur 2019,2019,Mohammadia,Particulier,Première,19.900 km,Diesel,Manuelle,6 cv ,115 ch ,147.000 DH
AUDI Q3 2017,2017,Rabat,Particulier,Première,85.000 km,Diesel,Manuelle,8 cv ,140 ch ,270.000 DH
FORD Focus 2018,2018,Casablanca,Particulier,Première,76.000 km,Diesel,Manuelle,6 cv ,120 ch ,157.000 DH
RENAULT Clio 2017,2017,Rabat,Particulier,Première,135.000 km,Essence,Manuelle,7 cv ,75 ch ,90.000 DH
FORD Focus Sedan 2012,2012,Rabat,Particulier,Première,206.000 km,Diesel,Manuelle,6 cv ,110 ch ,115.000 DH
BMW Série 1 Coupé 2011,2011,Rabat,Particulier,Seconde,186.000 km,Diesel,Automatique,8 cv ,177 ch ,108.000 DH
AUDI Q8 2019,2019,Casablanca,Particulier,Seconde,60.000 km,Diesel,Automatique,12 cv ,249 ch ,749.000 DH
VOLKSWAGEN Golf 2019,2019,Casablanca,Particulier,Première,57.000 km,Diesel,Automatique,8 cv ,150 ch ,215.000 DH
PORSCHE Macan 2022,2022,Casablanca,Particulier,Première,0 km,Essence,Automatique,11 cv ,265 ch ,1.140.000 DH
FIAT 500 2022,2022,Casablanca,Particulier,Première,5.000 km,Essence,Automatique,8 cv ,- ,280.000 DH
HYUNDAI i20 2019,2019,Rabat,Particulier,Première,5.400 km,Essence,Manuelle,7 cv ,84 ch ,133.500 DH
PEUGEOT 308 2020,2020,Rabat,Particulier,Première,82.088 km,Diesel,Manuelle,6 cv ,92 ch ,175.000 DH
MERCEDES Classe A 2017,2017,Rabat,Particulier,Première,70.000 km,Diesel,Automatique,9 cv ,136 ch ,255.000 DH
FORD Kuga 2020,2020,Casablanca,Particulier,Première,56.000 km,Diesel,Manuelle,6 cv ,120 ch ,210.000 DH
VOLKSWAGEN Golf 2018,2018,Casablanca,Particulier,Seconde,112.000 km,Diesel,Manuelle,6 cv ,110 ch ,195.000 DH
VOLKSWAGEN Touareg 2016,2016,Casablanca,Particulier,Première,64.850 km,Diesel,Automatique,12 cv ,204 ch ,255.000 DH
MERCEDES Classe C 2022,2022,Casablanca,Particulier,Première,0 km,Diesel,Automatique,8 cv ,200 ch ,850.000 DH
VOLKSWAGEN Golf 2018,2018,Casablanca,Particulier,Première,170.000 km,Diesel,Automatique,8 cv ,150 ch ,165.000 DH
HYUNDAI Accent 2020,2020,Casablanca,Particulier,Première,32.000 km,Diesel,Automatique,6 cv ,128 ch ,165.000 DH
VOLKSWAGEN Golf 2018,2018,Casablanca,Particulier,Première,74.000 km,Diesel,Manuelle,8 cv ,150 ch ,178.000 DH
MERCEDES Classe A 2017,2017,Fès,Particulier,Première,65.000 km,Diesel,Automatique,6 cv ,116 ch ,225.000 DH
TOYOTA Yaris 2019,2019,Rabat,Particulier,Première,96.000 km,Essence,Manuelle,6 cv ,69 ch ,104.000 DH
JAGUAR XE 2018,2018,Casablanca,Particulier,Seconde,68.000 km,Diesel,Automatique,8 cv ,180 ch ,287.000 DH
FORD Kuga 2018,2018,Casablanca,Particulier,Première,125.000 km,Diesel,Automatique,8 cv ,150 ch ,180.000 DH
DACIA Logan 2007,2007,Casablanca,Particulier,Seconde,357.000 km,Essence,Manuelle,8 cv ,75 ch ,46.000 DH
PEUGEOT 3008 2019,2019,Agadir,Particulier,Première,30.000 km,Diesel,Automatique,8 cv ,150 ch ,250.000 DH
PEUGEOT 208 2021,2021,El Jadida,Particulier,Première,18.000 km,Diesel,Automatique,6 cv ,130 ch ,175.000 DH
VOLKSWAGEN Touareg 2018,2018,Marrakech,Particulier,Première,112.000 km,Diesel,Automatique,12 cv ,204 ch ,225.000 DH
AUDI A4 2015,2015,Temara,Particulier,Première,150.000 km,Diesel,Automatique,8 cv ,150 ch ,205.000 DH
VOLKSWAGEN Polo Sedan 2005,2005,Marrakech,Particulier,Première,200.000 km,Diesel,Manuelle,6 cv ,75 ch ,47.000 DH
VOLKSWAGEN Touareg 2021,2021,Casablanca,Professionnel,Première,52.000 km,Diesel,Automatique,12 cv ,204 ch ,350.000 DH
RENAULT Mégane 2017,2017,Casablanca,Particulier,Première,75.000 km,Diesel,Manuelle,6 cv ,85 ch ,148.000 DH
FIAT 500 2021,2021,Casablanca,Particulier,Première,14.000 km,Essence,Automatique,7 cv ,69 ch ,175.000 DH
FORD S-Max 2017,2017,Casablanca,Particulier,Première,91.000 km,Diesel,Manuelle,8 cv ,110 ch ,185.000 DH
BMW Série 1 2017,2017,Casablanca,Particulier,Première,34.800 km,Diesel,Manuelle,6 cv ,110 ch ,190.000 DH
LAND ROVER Range Rover Velar 2017,2017,Marrakech,Particulier,Première,65.000 km,Diesel,Automatique,8 cv ,240 ch ,460.000 DH
KIA Carens 2008,2008,Tétouan,Particulier,Seconde,250.000 km,Diesel,Manuelle,8 cv ,- ,57.000 DH
HONDA HR-V 2019,2019,Casablanca,Particulier,Première,54.000 km,Diesel,Manuelle,6 cv ,120 ch ,220.000 DH
AUDI A1 2021,2021,Casablanca,Particulier,Seconde,26.000 km,Essence,Automatique,9 cv ,- ,320.000 DH
KIA Sportage 2015,2015,Mohammadia,Particulier,Seconde,190.000 km,Diesel,Manuelle,6 cv ,136 ch ,130.000 DH
RENAULT Clio 1997,1997,Temara,Particulier,Seconde,200.000 km,Essence,Automatique,7 cv ,70 ch ,28.000 DH
VOLKSWAGEN Arteon 2019,2019,Rabat,Particulier,Première,25.000 km,Diesel,Automatique,8 cv ,150 ch ,320.000 DH
VOLKSWAGEN Golf 2019,2019,Casablanca,Particulier,Seconde,79.000 km,Diesel,Automatique,8 cv ,150 ch ,205.000 DH
OPEL Astra 2019,2019,Casablanca,Particulier,Première,129.500 km,Diesel,Automatique,6 cv ,136 ch ,163.000 DH
BMW Série 5 2017,2017,Casablanca,Particulier,Première,167.000 km,Diesel,Automatique,8 cv ,190 ch ,260.000 DH
CITROEN C3 2017,2017,Kénitra,Particulier,Première,20.000 km,Essence,Manuelle,7 cv ,82 ch ,116.000 DH
TOYOTA Corolla Berline 2018,2018,Rabat,Professionnel,Première,100.000 km,Diesel,Manuelle,6 cv ,90 ch ,164.000 DH
HYUNDAI Tucson 2018,2018,Rabat,Professionnel,Première,101.000 km,Diesel,Automatique,7 cv ,141 ch ,270.000 DH
SEAT Leon 2007,2007,Beni Mellal,Particulier,Première,138.000 km,Diesel,Manuelle,8 cv ,105 ch ,83.000 DH
VOLVO C30 2012,2012,Rabat,Particulier,Première,110.000 km,Diesel,Manuelle,- ,- ,70.000 DH
NISSAN Juke 2018,2018,Casablanca,Particulier,Première,19.000 km,Diesel,Manuelle,6 cv ,110 ch ,182.000 DH
MERCEDES Classe B 2013,2013,Casablanca,Particulier,Seconde,159.432 km,Diesel,Automatique,7 cv ,- ,160.000 DH
VOLKSWAGEN Passat 2018,2018,Casablanca,Particulier,Première,60.000 km,Diesel,Automatique,8 cv ,150 ch ,280.000 DH
PEUGEOT Partner 2009,2009,Skhirate,Particulier,Seconde,150.000 km,Diesel,Manuelle,7 cv ,110 ch ,61.000 DH
RENAULT Clio 2021,2021,Rabat,Professionnel,Première,47.000 km,Diesel,Manuelle,7 cv ,75 ch ,164.000 DH
PEUGEOT 3008 2022,2022,Casablanca,Particulier,Première,2.000 km,,Manuelle,8 cv ,150 ch ,310.000 DH
MERCEDES Classe E 2009,2009,Casablanca,Particulier,Seconde,60.000 km,Essence,Automatique,17 cv ,231 ch ,160.000 DH
PEUGEOT 208 2022,2022,Kénitra,Particulier,Première,3.500 km,Diesel,Automatique,6 cv ,92 ch ,150.000 DH
MERCEDES Classe E 2007,2007,Tétouan,Particulier,Première,320.000 km,Diesel,Automatique,13 cv ,- ,106.000 DH
VOLKSWAGEN Bora 2002,2002,Agadir,Particulier,Seconde,300.000 km,Diesel,Manuelle,8 cv ,90 ch ,54.000 DH
JEEP Compass 2021,2021,Casablanca,Particulier,Première,18.000 km,Diesel,Manuelle,7 cv ,120 ch ,273.000 DH
DACIA Dokker 2021,2021,Marrakech,Particulier,Première,20.000 km,Diesel,Manuelle,6 cv ,85 ch ,127.000 DH
DFSK Glory IX5 2021,2021,Casablanca,Particulier,Seconde,7.000 km,Essence,Automatique,9 cv ,150 ch ,270.000 DH
HYUNDAI Tucson 2009,2009,Tanger,Particulier,Seconde,200.000 km,Diesel,Manuelle,8 cv ,140 ch ,85.000 DH
RENAULT Clio 2016,2016,Casablanca,Particulier,Première,57.000 km,Diesel,Manuelle,6 cv ,90 ch ,121.000 DH
ALFA ROMEO MiTo 2013,2013,Casablanca,Particulier,Première,37.800 km,Diesel,Manuelle,6 cv ,- ,90.000 DH
OPEL Adam 2018,2018,Casablanca,Particulier,Première,25.000 km,Essence,Manuelle,7 cv ,70 ch ,112.000 DH
VOLKSWAGEN Tiguan 2017,2017,Casablanca,Particulier,Première,120.000 km,Diesel,Automatique,8 cv ,150 ch ,260.000 DH
BMW Série 3 2014,2014,Kénitra,Particulier,Seconde,118.000 km,Diesel,Automatique,8 cv ,150 ch ,208.000 DH
HYUNDAI i30 2010,2010,Fès,Particulier,Seconde,149.000 km,Diesel,Manuelle,6 cv ,130 ch ,90.000 DH
FORD Focus 2014,2014,Tétouan,Particulier,Première,290.000 km,Diesel,Manuelle,6 cv ,120 ch ,97.000 DH
VOLKSWAGEN Caddy 2020,2020,Casablanca,Particulier,Première,120.000 km,Diesel,Manuelle,8 cv ,110 ch ,163.000 DH
FORD Focus 2011,2011,Casablanca,Particulier,Première,170.500 km,Diesel,Manuelle,7 cv ,110 ch ,83.000 DH
VOLKSWAGEN CC 2017,2017,Temara,Particulier,Seconde,180.000 km,Diesel,Manuelle,8 cv ,140 ch ,175.000 DH
FORD Transit 2021,2021,Casablanca,Particulier,Première,23.176 km,Diesel,Manuelle,- ,- ,265.000 DH
MERCEDES Classe E 2003,2003,Kénitra,Particulier,Seconde,270.000 km,Diesel,Manuelle,11 cv ,120 ch ,52.000 DH
DACIA Logan 2017,2017,Casablanca,Particulier,Seconde,93.000 km,Diesel,Manuelle,6 cv ,85 ch ,93.000 DH
CHEVROLET Cruze 2014,2014,Casablanca,Particulier,Seconde,115.000 km,Diesel,Manuelle,8 cv ,163 ch ,120.000 DH
KIA Ceed 2015,2015,Marrakech,Particulier,Seconde,49.000 km,Diesel,Automatique,7 cv ,110 ch ,120.000 DH
FIAT Albea 2009,2009,Tétouan,Particulier,Seconde,200.000 km,Essence,Manuelle,8 cv ,- ,48.000 DH
AUDI Q5 2018,2018,Agadir,Particulier,Première,93.000 km,Diesel,Automatique,8 cv ,190 ch ,430.000 DH
PEUGEOT 208 2017,2017,Casablanca,Particulier,Première,81.000 km,Diesel,Manuelle,6 cv ,92 ch ,128.000 DH
JAGUAR XJ 2012,2012,Rabat,Particulier,Première,119.000 km,Diesel,Automatique,12 cv ,275 ch ,170.000 DH
OPEL Astra 2011,2011,Casablanca,Particulier,Seconde,170.000 km,Diesel,Manuelle,6 cv ,130 ch ,88.000 DH
CHEVROLET Cruze 2010,2010,Rabat,Particulier,Seconde,160.000 km,Diesel,Manuelle,8 cv ,150 ch ,65.000 DH
VOLKSWAGEN Tiguan 2015,2015,Casablanca,Particulier,Première,134.000 km,Diesel,Manuelle,8 cv ,140 ch ,207.000 DH
FIAT 500 2020,2020,Casablanca,Particulier,Première,10.000 km,Essence,Automatique,7 cv ,69 ch ,152.000 DH
RENAULT Mégane 2018,2018,Kénitra,Particulier,Seconde,110.000 km,Diesel,Manuelle,6 cv ,115 ch ,139.000 DH
FIAT 500 2014,2014,Casablanca,Particulier,Première,180.000 km,Diesel,Manuelle,7 cv ,69 ch ,79.000 DH
VOLKSWAGEN Passat 2007,2007,Agadir,Particulier,Seconde,255.700 km,Diesel,Manuelle,8 cv ,140 ch ,88.000 DH
BMW Série 3 2015,2015,Agadir,Particulier,Première,108.000 km,Diesel,Automatique,8 cv ,- ,220.000 DH
FORD Kuga 2017,2017,Rabat,Particulier,Première,100.000 km,Diesel,Manuelle,8 cv ,150 ch ,190.000 DH
PEUGEOT 3008 2021,2021,Rabat,Particulier,Première,22.000 km,Diesel,Automatique,8 cv ,150 ch ,330.000 DH
NISSAN Juke 2021,2021,Salé,Particulier,Première,4.000 km,Essence,Manuelle,6 cv ,117 ch ,230.000 DH
VOLKSWAGEN CC 2017,2017,Casablanca,Particulier,Seconde,111.000 km,Diesel,Manuelle,8 cv ,140 ch ,219.000 DH
OPEL Astra 2011,2011,Casablanca,Particulier,Seconde,176.800 km,Diesel,Manuelle,7 cv ,110 ch ,95.000 DH
VOLKSWAGEN Passat 2012,2012,Casablanca,Particulier,Première,106.000 km,Diesel,Manuelle,8 cv ,140 ch ,130.000 DH
HONDA Accord 2009,2009,Rabat,Particulier,Seconde,190.000 km,Essence,Manuelle,9 cv ,150 ch ,60.000 DH
HONDA Accord 2008,2008,Rabat,Particulier,Seconde,157.000 km,Essence,Manuelle,11 cv ,156 ch ,78.000 DH
DACIA Dokker 2018,2018,Casablanca,Particulier,Première,320.000 km,Diesel,Manuelle,6 cv ,85 ch ,98.000 DH
DACIA Dokker 2017,2017,Casablanca,Particulier,Première,180.000 km,Diesel,Manuelle,6 cv ,85 ch ,95.000 DH
RENAULT Mégane 2009,2009,Casablanca,Particulier,Première,132.000 km,Diesel,Automatique,7 cv ,130 ch ,95.000 DH
LAND ROVER Range Rover Evoque 2017,2017,Rabat,Particulier,Seconde,70.000 km,Diesel,Automatique,9 cv ,180 ch ,355.000 DH
MERCEDES GLC 2019,2019,Casablanca,Particulier,Première,14.000 km,Diesel,Automatique,9 cv ,194 ch ,450.000 DH
FORD Kuga 2021,2021,Casablanca,Particulier,Première,11.177 km,Diesel,Automatique,6 cv ,120 ch ,290.000 DH
VOLKSWAGEN Touareg 2022,2022,Agadir,Particulier,Première,22.000 km,Diesel,Automatique,12 cv ,259 ch ,800.000 DH
DACIA Sandero 2018,2018,Casablanca,Particulier,Première,13.100 km,Essence,Manuelle,7 cv ,75 ch ,89.000 DH
VOLKSWAGEN Fox 2006,2006,Temara,Particulier,Seconde,148.000 km,Essence,Manuelle,6 cv ,- ,49.000 DH
KIA Carens 2018,2018,Casablanca,Particulier,Première,107.000 km,Diesel,Manuelle,6 cv ,115 ch ,152.000 DH
LAND ROVER Range Rover 2015,2015,Casablanca,Particulier,Première,138.000 km,Diesel,Automatique,12 cv ,350 ch ,355.000 DH
HYUNDAI Accent 2020,2020,Oujda,Particulier,Première,24.000 km,Diesel,Automatique,6 cv ,115 ch ,90.000 DH
VOLKSWAGEN Golf 2021,2021,Casablanca,Particulier,Seconde,18.000 km,Diesel,Automatique,8 cv ,150 ch ,420.000 DH
KIA Picanto 2022,2022,Salé,Particulier,Première,4.000 km,Essence,Automatique,6 cv ,67 ch ,124.500 DH
HONDA CR-V 2017,2017,Casablanca,Particulier,Première,93.000 km,Diesel,Manuelle,6 cv ,120 ch ,190.000 DH
SKODA Karoq 2021,2021,Kénitra,Particulier,Première,40.000 km,Diesel,Automatique,8 cv ,143 ch ,310.000 DH
KIA Sportage 2020,2020,Casablanca,Particulier,Première,40.500 km,Diesel,Automatique,8 cv ,185 ch ,285.000 DH
AUDI A4 2012,2012,Rabat,Particulier,Seconde,169.500 km,Diesel,Manuelle,8 cv ,143 ch ,166.000 DH
SEAT Leon 2020,2020,Salé,Particulier,Première,56.000 km,Diesel,Manuelle,8 cv ,143 ch ,230.000 DH
VOLVO S60 2018,2018,Marrakech,Particulier,Première,80.000 km,Diesel,Automatique,8 cv ,120 ch ,210.000 DH
BMW X1 2010,2010,Rabat,Particulier,Seconde,250.000 km,Diesel,Automatique,8 cv ,204 ch ,165.000 DH
VOLVO XC60 2015,2015,Casablanca,Particulier,Première,176.000 km,Diesel,Automatique,8 cv ,190 ch ,190.000 DH
BMW Série 4 Gran Coupé 2016,2016,Rabat,Particulier,Seconde,160.000 km,Diesel,Automatique,8 cv ,190 ch ,290.000 DH
VOLKSWAGEN Touareg 2019,2019,Casablanca,Particulier,Première,54.000 km,Diesel,Automatique,12 cv ,259 ch ,400.000 DH
FORD Fiesta 2015,2015,Casablanca,Particulier,Seconde,109.000 km,Diesel,Manuelle,6 cv ,85 ch ,109.000 DH
DACIA Duster 2012,2012,Casablanca,Particulier,Seconde,167.000 km,Diesel,Manuelle,6 cv ,90 ch ,95.000 DH
HYUNDAI ix35 2012,2012,Agadir,Particulier,Seconde,154.000 km,Diesel,Manuelle,8 cv ,170 ch ,130.000 DH
FORD Focus 2012,2012,Agadir,Particulier,Seconde,194.000 km,Diesel,Manuelle,6 cv ,95 ch ,107.000 DH
BMW Série 3 2014,2014,Kénitra,Particulier,Seconde,117.000 km,Diesel,Automatique,8 cv ,122 ch ,225.000 DH
BMW Série 3 2011,2011,Casablanca,Particulier,Seconde,99.100 km,Essence,Manuelle,11 cv ,- ,110.000 DH
BMW Série 3 2020,2020,Casablanca,Particulier,Première,85.000 km,Diesel,Automatique,8 cv ,150 ch ,370.000 DH
OPEL Corsa 2004,2004,Casablanca,Particulier,Seconde,227.000 km,Essence,Manuelle,6 cv ,- ,43.000 DH
CITROEN C4 Cactus 2015,2015,Rabat,Particulier,Seconde,91.000 km,Diesel,Automatique,6 cv ,120 ch ,130.000 DH
FORD Kuga 2015,2015,Agadir,Particulier,Seconde,102.000 km,Diesel,Manuelle,6 cv ,120 ch ,155.000 DH
DACIA Logan 2008,2008,Beni Mellal,Particulier,Première,230.000 km,Diesel,Manuelle,6 cv ,70 ch ,63.000 DH
HYUNDAI Accent 2020,2020,Marrakech,Particulier,Première,86.000 km,Diesel,Manuelle,6 cv ,128 ch ,138.000 DH
CITROEN C3 2019,2019,Casablanca,Particulier,Première,76.000 km,Diesel,Manuelle,6 cv ,92 ch ,100.000 DH
LAND ROVER Range Rover Evoque 2018,2018,El Jadida,Particulier,Première,75.000 km,Diesel,Automatique,8 cv ,180 ch ,325.000 DH
NISSAN Micra 2018,2018,El Jadida,Particulier,Première,72.000 km,Diesel,Manuelle,6 cv ,90 ch ,140.000 DH
TOYOTA RAV 4 2012,2012,Fès,Particulier,Première,120.000 km,Diesel,Manuelle,9 cv ,150 ch ,130.000 DH
LAND ROVER Range Rover Evoque 2016,2016,Mohammadia,Particulier,Seconde,104.000 km,Diesel,Manuelle,8 cv ,180 ch ,274.000 DH
SEAT Leon 2016,2016,Marrakech,Particulier,Seconde,87.000 km,Diesel,Automatique,6 cv ,105 ch ,165.000 DH
HYUNDAI Tucson 2020,2020,Mohammadia,Particulier,Première,50.000 km,Diesel,Automatique,6 cv ,136 ch ,305.000 DH
NISSAN Qashqai 2018,2018,Rabat,Particulier,Première,75.000 km,Diesel,Manuelle,6 cv ,130 ch ,198.000 DH
AUDI Q5 2011,2011,Marrakech,Particulier,Seconde,180.000 km,Diesel,Automatique,12 cv ,341 ch ,190.000 DH
SEAT Ibiza 2017,2017,Casablanca,Particulier,Seconde,54.500 km,Diesel,Manuelle,6 cv ,105 ch ,115.000 DH
MERCEDES Classe E Coupé 2018,2018,Rabat,Particulier,Seconde,82.000 km,Diesel,Automatique,8 cv ,194 ch ,540.000 DH
KIA Sorento 2015,2015,Casablanca,Particulier,Seconde,152.000 km,Diesel,Manuelle,9 cv ,200 ch ,200.000 DH
KIA Carens 2005,2005,Casablanca,Particulier,Première,270.000 km,Diesel,Manuelle,8 cv ,140 ch ,52.000 DH
JEEP Grand Cherokee 2010,2010,Casablanca,Particulier,Seconde,142.000 km,Diesel,Automatique,12 cv ,250 ch ,95.000 DH
RENAULT Koleos 2020,2020,Casablanca,Particulier,Seconde,45.000 km,Diesel,Automatique,8 cv ,175 ch ,300.000 DH
FORD Fiesta 2017,2017,Agadir,Particulier,Première,36.090 km,Diesel,Manuelle,6 cv ,75 ch ,112.000 DH
CITROEN C4 2014,2014,Casablanca,Particulier,Seconde,122.000 km,Diesel,Manuelle,6 cv ,92 ch ,105.000 DH
HYUNDAI i20 2013,2013,Casablanca,Particulier,Seconde,149.000 km,Essence,Manuelle,7 cv ,69 ch ,69.000 DH
AUDI A4 2008,2008,Rabat,Particulier,Seconde,219.000 km,Diesel,Automatique,8 cv ,143 ch ,129.000 DH
HONDA CR-V 2013,2013,Casablanca,Particulier,Première,122.000 km,Diesel,Automatique,8 cv ,150 ch ,145.000 DH
MERCEDES CLS Coupé 2011,2011,Casablanca,Particulier,Seconde,77.000 km,Essence,Automatique,42 cv ,557 ch ,480.000 DH
AUDI Q7 2017,2017,Rabat,Particulier,Seconde,105.000 km,Diesel,Automatique,16 cv ,435 ch ,590.000 DH
VOLKSWAGEN Touareg 2019,2019,Rabat,Particulier,Première,94.000 km,Diesel,Automatique,12 cv ,259 ch ,440.000 DH
RENAULT Mégane 2013,2013,Khouribga,Particulier,Seconde,190.000 km,Diesel,Manuelle,6 cv ,110 ch ,105.000 DH
HYUNDAI Tucson 2017,2017,Casablanca,Particulier,Première,72.000 km,Diesel,Automatique,8 cv ,185 ch ,264.000 DH
HYUNDAI Tucson 2017,2017,Casablanca,Particulier,Première,72.000 km,Diesel,Automatique,8 cv ,185 ch ,264.000 DH
LAND ROVER Range Rover 2018,2018,Casablanca,Particulier,Seconde,97.000 km,Diesel,Automatique,12 cv ,258 ch ,830.000 DH
RENAULT Trafic 2019,2019,Casablanca,Particulier,Première,40.000 km,Diesel,Manuelle,9 cv ,130 ch ,210.000 DH
VOLKSWAGEN Touareg 2016,2016,Casablanca,Particulier,Première,65.000 km,Diesel,Automatique,12 cv ,204 ch ,250.000 DH
DACIA Logan 2018,2018,Casablanca,Particulier,Première,72.951 km,Diesel,Manuelle,6 cv ,85 ch ,98.000 DH
FORD EcoSport 2015,2015,Khouribga,Particulier,Seconde,153.000 km,Diesel,Manuelle,6 cv ,- ,178.000 DH
HYUNDAI i20 2022,2022,Marrakech,Particulier,Première,1.700 km,Essence,Automatique,8 cv ,100 ch ,180.000 DH
NISSAN Micra 2018,2018,Rabat,Particulier,Première,30.700 km,Diesel,Manuelle,6 cv ,90 ch ,125.000 DH
FORD Focus 2016,2016,Tanger,Particulier,Première,95.000 km,Diesel,Manuelle,8 cv ,130 ch ,140.000 DH
FORD Focus 2016,2016,Tanger,Particulier,Première,95.000 km,Diesel,Manuelle,8 cv ,130 ch ,140.000 DH
NISSAN Qashqai 2018,2018,Rabat,Particulier,Première,74.000 km,Diesel,Automatique,6 cv ,130 ch ,205.000 DH
PEUGEOT Partner Tepee 2018,2018,Rabat,Particulier,Première,138.000 km,Diesel,Manuelle,6 cv ,75 ch ,113.000 DH
VOLKSWAGEN Jetta 2018,2018,Rabat,Particulier,Première,138.000 km,Diesel,Automatique,8 cv ,150 ch ,155.000 DH
PEUGEOT 3008 2014,2014,Rabat,Particulier,Première,117.500 km,Diesel,Manuelle,6 cv ,130 ch ,122.000 DH
BMW Série 5 2017,2017,Casablanca,Particulier,Première,80.000 km,Diesel,Automatique,8 cv ,190 ch ,330.000 DH
MERCEDES Classe E 2012,2012,Casablanca,Particulier,Seconde,400.000 km,Diesel,Automatique,9 cv ,- ,240.000 DH
FIAT Siena 2003,2003,Casablanca,Particulier,Première,166.500 km,Diesel,Manuelle,6 cv ,60 ch ,38.000 DH
MINI 3 portes 2012,2012,Rabat,Particulier,Seconde,127.000 km,Essence,Automatique,9 cv ,110 ch ,100.000 DH
MERCEDES Classe C 2017,2017,Casablanca,Particulier,Seconde,187.000 km,Diesel,Automatique,6 cv ,116 ch ,210.000 DH
MITSUBISHI Pajero Sport 2010,2010,Casablanca,Particulier,Première,230.000 km,Diesel,Manuelle,10 cv ,10 ch ,120.000 DH
FORD Kuga 2016,2016,Kénitra,Particulier,Seconde,149.000 km,Diesel,Manuelle,8 cv ,150 ch ,169.000 DH
FIAT Panda 2019,2019,Casablanca,Particulier,Seconde,68.000 km,Essence,Manuelle,7 cv ,69 ch ,76.000 DH
VOLKSWAGEN Caddy 2007,2007,Agadir,Particulier,Seconde,270.000 km,Diesel,Manuelle,8 cv ,110 ch ,110.000 DH
MINI Cabrio 2017,2017,Casablanca,Particulier,Première,108.914 km,Essence,Automatique,7 cv ,136 ch ,210.000 DH
SEAT Leon 2017,2017,Casablanca,Particulier,Première,54.230 km,Diesel,Manuelle,6 cv ,105 ch ,165.000 DH
OPEL Grandland 2021,2021,Marrakech,Particulier,Première,70.000 km,Diesel,Manuelle,6 cv ,130 ch ,230.000 DH
FORD C-Max 2013,2013,Marrakech,Particulier,Seconde,161.000 km,Diesel,Manuelle,6 cv ,95 ch ,105.000 DH
OPEL Mokka 2022,2022,Meknès,Particulier,Seconde,950 km,Diesel,Manuelle,6 cv ,110 ch ,250.000 DH
AUDI A4 2014,2014,Rabat,Particulier,Première,120.000 km,Diesel,Manuelle,8 cv ,120 ch ,175.000 DH
PEUGEOT 3008 2018,2018,Rabat,Particulier,Première,51.000 km,Diesel,Manuelle,8 cv ,150 ch ,205.000 DH
LAND ROVER Range Rover Evoque 2019,2019,Casablanca,Particulier,Première,61.000 km,Diesel,Automatique,8 cv ,150 ch ,405.000 DH
DACIA Sandero 2009,2009,Casablanca,Particulier,Seconde,230.000 km,Diesel,Manuelle,6 cv ,70 ch ,61.000 DH
HYUNDAI i10 2015,2015,Rabat,Particulier,Seconde,98.500 km,Essence,Manuelle,7 cv ,69 ch ,59.000 DH
NISSAN Micra 2018,2018,Rabat,Particulier,Première,30.600 km,Diesel,Manuelle,6 cv ,90 ch ,130.000 DH
VOLKSWAGEN CC 2019,2019,Casablanca,Particulier,Seconde,70.000 km,Diesel,Automatique,8 cv ,177 ch ,265.000 DH
NISSAN Qashqai 2014,2014,Casablanca,Particulier,Première,220.200 km,Diesel,Manuelle,6 cv ,110 ch ,155.000 DH
DACIA Duster 2016,2016,Casablanca,Particulier,Première,48.900 km,Diesel,Manuelle,6 cv ,90 ch ,138.000 DH
DACIA Duster 2016,2016,Casablanca,Particulier,Première,167.000 km,Diesel,Manuelle,6 cv ,90 ch ,120.000 DH
RENAULT Clio 2017,2017,Tanger,Particulier,Première,76.000 km,Essence,Manuelle,6 cv ,75 ch ,92.000 DH
TOYOTA Yaris 2022,2022,Rabat,Particulier,Première,4.700 km,Essence,Automatique,6 cv ,69 ch ,130.000 DH
PEUGEOT 206 2010,2010,Casablanca,Particulier,Seconde,178.500 km,Diesel,Manuelle,6 cv ,70 ch ,71.000 DH
FORD Fiesta 2016,2016,Kelaat Sraghna,Particulier,Seconde,112.000 km,Essence,Manuelle,7 cv ,85 ch ,82.000 DH
BMW X5 2014,2014,Casablanca,Particulier,Seconde,220.000 km,Diesel,Automatique,12 cv ,265 ch ,280.000 DH
RENAULT Kangoo 2014,2014,Benslimane,Particulier,Première,168.000 km,Diesel,Manuelle,6 cv ,85 ch ,85.000 DH
