Name,Year,Location,Vendeur,Owner_type,Kilometers_Driven,Fuel_Type,Transmission,Puissance_fiscale,Puissance_dynamique,Price
BMW Série 5 2005,2005,Agadir,Particulier,Seconde,238.000 km,Diesel,Manuelle,10 cv ,170 ch ,88.000 DH
VOLVO XC60 2017,2017,Casablanca,Particulier,Seconde,182.000 km,Diesel,Automatique,8 cv ,- ,165.000 DH
PEUGEOT 3008 2019,2019,Meknès,Particulier,Première,95.000 km,Diesel,Automatique,8 cv ,150 ch ,295.000 DH
HYUNDAI Accent 2022,2022,Casablanca,Particulier,Première,25.000 km,Diesel,Automatique,6 cv ,115 ch ,173.000 DH
VOLKSWAGEN Tiguan 2018,2018,Tanger,Particulier,Première,79.000 km,Diesel,Automatique,18 cv ,150 ch ,240.000 DH
MINI 3 portes 2016,2016,Casablanca,Particulier,Première,48.000 km,Essence,Automatique,11 cv ,- ,290.000 DH
CITROEN C3 2020,2020,Marrakech,Particulier,Seconde,50.000 km,Diesel,Manuelle,6 cv ,92 ch ,150.000 DH
RENAULT Scénic 2014,2014,Casablanca,Particulier,Première,169.000 km,Diesel,Manuelle,6 cv ,105 ch ,105.000 DH
BMW Série 5 2016,2016,Marrakech,Particulier,Seconde,170.500 km,Diesel,Automatique,8 cv ,190 ch ,270.000 DH
VOLKSWAGEN Golf 2018,2018,Casablanca,Particulier,Première,34.000 km,Diesel,Manuelle,8 cv ,150 ch ,180.000 DH
RENAULT Kangoo 2017,2017,Dakhla,Particulier,Première,189.000 km,Diesel,Manuelle,6 cv ,85 ch ,125.000 DH
NISSAN Qashqai 2014,2014,Nador,Particulier,Seconde,180.000 km,Diesel,Automatique,6 cv ,130 ch ,140.000 DH
VOLKSWAGEN Tiguan 2018,2018,Casablanca,Particulier,Première,23.500 km,Diesel,Manuelle,8 cv ,110 ch ,280.000 DH
CITROEN C5 AirCross 2020,2020,El Jadida,Particulier,Première,124.000 km,Diesel,Automatique,8 cv ,180 ch ,205.000 DH
PEUGEOT 308 2019,2019,Meknès,Particulier,Première,78.000 km,Diesel,Manuelle,6 cv ,92 ch ,172.000 DH
VOLKSWAGEN Passat 2019,2019,Casablanca,Particulier,Première,80.500 km,Diesel,Manuelle,8 cv ,110 ch ,193.000 DH
PEUGEOT 301 2021,2021,Salé,Particulier,Première,130.000 km,Diesel,Manuelle,6 cv ,92 ch ,125.000 DH
CITROEN Nemo 2016,2016,Dakhla,Particulier,Seconde,108.000 km,Diesel,Manuelle,6 cv ,- ,62.000 DH
PEUGEOT 208 2018,2018,Casablanca,Particulier,Première,51.300 km,Diesel,Manuelle,6 cv ,92 ch ,120.000 DH
PEUGEOT 208 2016,2016,Mohammadia,Particulier,Seconde,105.000 km,Diesel,Manuelle,6 cv ,92 ch ,108.000 DH
MERCEDES Classe C 2018,2018,Casablanca,Particulier,Seconde,170.000 km,Diesel,Automatique,8 cv ,170 ch ,285.000 DH
VOLVO XC40 2019,2019,Fès,Particulier,Première,140.000 km,Diesel,Automatique,8 cv ,150 ch ,300.000 DH
OPEL Insignia 2010,2010,El Jadida,Particulier,Seconde,240.000 km,Diesel,Automatique,8 cv ,130 ch ,73.000 DH
BMW X6 2016,2016,Casablanca,Particulier,Première,230.000 km,Diesel,Automatique,12 cv ,- ,285.000 DH
CHEVROLET Spark 2008,2008,Fès,Particulier,Seconde,110.000 km,Essence,Manuelle,- ,- ,39.000 DH
VOLKSWAGEN Tiguan 2020,2020,Casablanca,Particulier,Première,59.600 km,Diesel,Automatique,8 cv ,150 ch ,320.000 DH
BMW Série 1 2015,2015,Casablanca,Particulier,Seconde,250.000 km,Diesel,Automatique,8 cv ,116 ch ,165.000 DH
HONDA Accord 2009,2009,Rabat,Particulier,Seconde,312.000 km,Diesel,Manuelle,9 cv ,- ,88.000 DH
DS DS 4 2022,2022,Marrakech,Particulier,Première,21.000 km,Diesel,Automatique,6 cv ,130 ch ,330.000 DH
BMW Série 1 Coupé 2011,2011,Casablanca,Particulier,Première,129.000 km,Diesel,Automatique,8 cv ,177 ch ,135.000 DH
VOLKSWAGEN CC 2018,2018,Casablanca,Particulier,Première,50.000 km,Diesel,Automatique,8 cv ,140 ch ,240.000 DH
VOLKSWAGEN Tiguan 2017,2017,Tanger,Particulier,Première,84.000 km,Diesel,Automatique,8 cv ,150 ch ,320.000 DH
SEAT Ibiza 2014,2014,Temara,Particulier,Seconde,183.800 km,Diesel,Manuelle,6 cv ,90 ch ,92.000 DH
MERCEDES Classe E 2021,2021,Tétouan,Particulier,Première,60.000 km,Diesel,Automatique,8 cv ,194 ch ,550.000 DH
VOLKSWAGEN Jetta 2021,2021,Tanger,Particulier,Première,40.000 km,Diesel,Automatique,8 cv ,150 ch ,175.000 DH
AUDI A3 2003,2003,Tanger,Particulier,Seconde,250.000 km,Diesel,Manuelle,8 cv ,105 ch ,52.000 DH
OPEL Crossland 2020,2020,Salé,Particulier,Première,45.000 km,Diesel,Manuelle,6 cv ,92 ch ,170.000 DH
RENAULT Mégane 2013,2013,Salé,Particulier,Seconde,201.000 km,Diesel,Manuelle,6 cv ,90 ch ,93.000 DH
OPEL Astra 2018,2018,Temara,Particulier,Première,81.265 km,Diesel,Manuelle,- ,- ,165.000 DH
HONDA Accord 2005,2005,Casablanca,Particulier,Première,150.000 km,Diesel,Manuelle,9 cv ,140 ch ,75.000 DH
